event_name,event_image,event_date_time,event_link
Fabiola Méndez and #CadenciaLatina,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101857136%2F213384811507%2F1%2Foriginal.20200526-111546?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C112%2C1436%2C718&s=8e878f5d73fa9ef4e61718515c037d42,"Sun, May 31, 2020 7:00 PM EDT (-04:00)",https://www.eventbrite.com/e/fabiola-mendez-and-cadencialatina-tickets-106589018624?aff=ebdssbonlinesearch
Introductory Music Class with Dr. Sanjay Gupta  ,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101791250%2F292793467120%2F1%2Foriginal.20200525-152419?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C22%2C1920%2C960&s=256869bf9f831d30123f98be8c5f7c1f,"Sat, May 30, 2020 8:30 PM BST (+01:00)",https://www.eventbrite.co.uk/e/introductory-music-class-with-dr-sanjay-gupta-tickets-106780928632?aff=ebdssbonlinesearch
Music.Art.Ppl's Tech Talk with Return of the Jaded,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101876752%2F193450029044%2F1%2Foriginal.20200526-145547?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C137%2C626%2C313&s=20d9622007077651d5cbd8dfefa1527d,"Thu, May 28, 2020 7:30 PM EDT (-04:00)",https://www.eventbrite.ca/e/musicartppls-tech-talk-with-return-of-the-jaded-tickets-106767843494?aff=ebdssbonlinesearch
Generate Unplugged - Dariga Adler,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101866968%2F220745071179%2F1%2Foriginal.20200526-133909?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C43%2C1920%2C960&s=99634c4e2607d7b3deb8615d9c9c27cf,"Fri, May 29, 2020 7:00 PM BST (+01:00)",https://www.eventbrite.co.uk/e/generate-unplugged-dariga-adler-tickets-106768481402?aff=ebdssbonlinesearch
Supa Dupa Fly x Zoom Quiz + Afterparty!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101867220%2F275104059019%2F1%2Foriginal.20200526-134158?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C218%2C4000%2C2000&s=7d1e44d1ce10105b920c34b8d89ef85e,"Sat, May 30, 2020 8:30 PM BST (+01:00)",https://www.eventbrite.co.uk/e/supa-dupa-fly-x-zoom-quiz-afterparty-tickets-106770898632?aff=ebdssbonlinesearch
The Walking Roots Band - ZoomConcert,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101869392%2F219345183080%2F1%2Foriginal.20200526-140529?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C53%2C1920%2C960&s=d91a313f1cee22b2b5c3fc9ab91545f4,"Sat, May 30, 2020 9:00 PM EDT (-04:00)",https://www.eventbrite.com/e/the-walking-roots-band-zoomconcert-tickets-106768174484?aff=ebdssbonlinesearch
Virtual Open Mic Night,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101867028%2F283992637556%2F1%2Foriginal.20200526-133937?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C252%2C3000%2C1500&s=1c8cf3646ff3429fe23cef729747f7b3,"Fri, May 29, 2020 8:00 PM EDT (-04:00) + 11 more events",https://www.eventbrite.com/e/virtual-open-mic-night-tickets-106767612804?aff=ebdssbonlinesearch
Vinyl & Wine (virtual) presents: Rumours,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101866612%2F445584801730%2F1%2Foriginal.20200526-133443?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C150%2C1500%2C750&s=88f087688d1ca58d82c841cf645b0610,"Sun, May 31, 2020 6:00 PM IST (+01:00)",https://www.eventbrite.ie/e/vinyl-wine-virtual-presents-rumours-tickets-106611893042?aff=ebdssbonlinesearch
Eto’o Tsana presents “A Kween Walks“  Mini Concert BDay Bash,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101763680%2F82193908857%2F1%2Foriginal.20200525-053638?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C14%2C1424%2C712&s=6b63ef9025eb42f46e3a3b5bc4482031,"Sat, May 30, 2020 12:00 PM EDT (-04:00)",https://www.eventbrite.com/e/etoo-tsana-presents-a-kween-walks-mini-concert-bday-bash-tickets-106062967190?aff=ebdssbonlinesearch
NOW Society Online Improvisation Workshops Apr-Jun 2020,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101408070%2F168768728920%2F1%2Foriginal.20200520-061557?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C54%2C1920%2C960&s=7db76e3ab1d1f9e775edaf02eb8c7228,"Wed, May 27, 2020 6:00 PM PDT (-07:00) + 3 more events",https://www.eventbrite.ca/e/now-society-online-improvisation-workshops-apr-jun-2020-tickets-103474212154?aff=ebdssbonlinesearch
